Text,Label
So here's what what happened yesterday I mean what would uh you do in that situation like so yeah that’s the um story,1
Something Something really interesting um happened I mean anyway could you you please um open the the blinds you know and that’s when I realized realized I was late,1
Something really interesting happened um do uh you know what I mean uh and that’s how um how I ended up here here,0
The other other day day I had this um experience you you know can you respond respond to what I just just said said you know and that’s that’s how I ended up here here,1
Something really interesting happened um do you you know what I mean you know and that’s how I ended up here,0
Let Let me tell you something something so so I I was wondering could you maybe assist assist me me uh and that’s how I ended up here,1
It's kind of of a long story story but you know do um you know what I mean mean uh crazy right,0
You You know I was thinking about something like uh like what would you um do in that situation uh uh anyway uh that’s it,1
So here's what happened happened happened yesterday uh you uh know what happened next I um I mean and that’s when I realized I was late,0
So here's what happened happened yesterday yesterday like so he like he told me that that I was being unreasonable unreasonable uh like so yeah yeah that’s the the story,0
So here's here's um what happened yesterday I mean so he told me that I was being like unreasonable you know know crazy right,0
Let me tell you something something uh uh uh it was like just one of uh those days I I mean and that’s how I ended up here,0
Something really interesting happened I mean so so he told told me that I was was being unreasonable so crazy right,0
So here's what happened happened yesterday like and then she she was like what are you doing you know know and that’s when when I realized I was late,0
You uh You know know I was thinking about something I I mean so he uh told me that I I was was being being unreasonable unreasonable like so uh yeah that’s that’s that’s the story,0
You You know I was thinking about about something so you know know what happened happened next uh uh crazy right,0
So here's here's what what happened happened yesterday yesterday like so and then I turned to to you and said said can you help me with that you know know crazy crazy right right,1
Something Something really um interesting happened happened so do do you know what I mean uh and that’s when I I realized I was late,0
So here's what what happened yesterday like then then I thought thought hey robot what do you think you you know crazy right,1
Let me tell you something like like it was just one of those days so so just wanted to to share uh share that,0
It's kind of a long story but you know and then I turned to you and said can you help me with that so so just wanted to share that,1
The other day I had had this experience I mean do uh you know what what what I mean so anyway anyway that’s uh it,0
Something really interesting happened like so I was wondering wondering um could you maybe assist uh me so crazy right right,1
The The other day I had this experience uh so like I was wondering could like could you maybe assist me so and that’s like how I I ended up up here,1
You know I was was thinking thinking about about something you know it it was just one of those days so and that’s how I ended up up here here,0
Let me tell tell tell you something uh and then she she was like what what um are you you doing doing like so yeah yeah that’s the story,0
So here's here's what happened yesterday uh you know what happened next like crazy right,0
So here's here's what happened yesterday I mean mean that’s when when I I decided to uh go home home so anyway that’s that’s it,0
Something really interesting um happened you you um know that’s that’s that’s when I decided decided to to to go home so just wanted to share share that,0
The other day I had um this experience experience you you know then I thought thought hey hey robot what do do you think so so crazy right,1
The other other day I had had had this experience so and then I turned to you and said can you help me with that that you know crazy right,1
