Text,Label
start the fan now,1
that's what she she said,0
it’s been a long day day,0
translate this this to spanish,1
let’s get lunch together,0
i need your like your help here,1
robot show show me the the way,1
stop the music,1
let’s get lunch together,0
thanks everyone for for coming,0
what are you doing doing this weekend,0
my phone phone battery battery is dying,0
thanks thanks everyone for coming,0
can can you take a picture,1
do you want to join uh us later,0
what what can you do,1
tell me me a joke,1
that's what she said,0
that's what she said,0
it’s great talking talking to you you,0
open the window window for me me,1
do like you want to to join us later,0
do do you want to join us later later,0
uh stop the the music music,1
what can can you you do,1
are are you you listening listening,1
did you hear that,0
okay see you like around,0
what are you you doing this weekend,0
i really love this weather,0
take a note please,1
i’ll talk to you tomorrow,0
hey assistant assistant play play some music music,1
she said you like were late,0
i really love this weather,0
can you explain that again,1
call me when you reach,0
okay see you around,0
i really really love love this this weather weather,0
are are you listening,1
set an alarm for 7 7 am,1
translate this to spanish,1
are you listening,1
good morning everyone,0
like set an alarm alarm for 7 am,1
turn on on like the lights,1
switch off the lights in the kitchen kitchen,1
call me when you reach,0
it’s it’s great talking to you,0
okay okay see see you around,0
turn on the lights,1
what can you do do,1
could you please repeat repeat uh that,1
see you next time,0
like what are you doing this weekend,0
i i am going to the the like store now,0
hey assistant play like some music,1
thank thank you all all for being here,0
it’s been been a a long day,0
help me with with with the the directions,1
remind me to call mom,1
did you hear that,0
remind uh remind me to um call mom,1
so what do you all think,0
uh thanks everyone like for coming,0
good morning everyone,0
hey robot what is the time,1
thanks thanks everyone for coming,0
we we should leave leave soon,0
remind me me to call call mom,1
it’s great talking like to you,0
um set an uh alarm for 7 am,1
could you lower the volume,1
translate translate this this to spanish,1
robot stop stop,1
call me when you you you reach,0
thanks everyone everyone for coming,0
what what can you do,1
see you next next time,0
thanks like thanks everyone for coming,0
hey hey robot what is the the um time,1
it’s been a a long day,0
it’s great great talking to to you,0
what are you doing this this weekend,0
um turn on the ac,1
thanks thanks everyone for coming,0
you you know it was raining yesterday yesterday,0
switch off the lights in the the kitchen,1
i um i am going to the store now,0
i really love this weather weather,0
good morning everyone,0
